,predicted indicator,feature indicator,feature importance
19110,key-wdi-AG.SRF.TOTL.K2,wdi2-NY.GDP.MKTP.CN,0.1293817367295613
19111,key-wdi-AG.SRF.TOTL.K2,key-wdi-EG.ELC.RNEW.ZS,0.0369239141549831
19112,key-wdi-AG.SRF.TOTL.K2,key-wdi-ER.FSH.CAPT.MT,0.0395093319161048
19113,key-wdi-AG.SRF.TOTL.K2,wdi-AG.LND.TOTL.K2,0.1974231821945608
19114,key-wdi-AG.SRF.TOTL.K2,wdi-AG.SRF.TOTL.K2,0.3189582563961041
19115,key-wdi-AG.SRF.TOTL.K2,wdi-EG.ELC.RNEW.ZS,0.0433064467995773
19116,key-wdi-AG.SRF.TOTL.K2,wdi-EN.POP.DNST,0.1020098222578147
19117,key-wdi-AG.SRF.TOTL.K2,wdi-ER.FSH.CAPT.MT,0.0371694894856317
19118,key-wdi-AG.SRF.TOTL.K2,wdi-ER.FSH.PROD.MT,0.0631584160046412
19119,key-wdi-AG.SRF.TOTL.K2,wdi-IQ.SPI.PIL1,0.0321594040610205
19120,key-wdi-EG.ELC.RNEW.ZS,wdi2-NY.GDP.MKTP.CN,0.0072771478005833
19121,key-wdi-EG.ELC.RNEW.ZS,key-wdi-AG.SRF.TOTL.K2,0.0054316693808735
19122,key-wdi-EG.ELC.RNEW.ZS,key-wdi-ER.FSH.CAPT.MT,0.0018770342368114
19123,key-wdi-EG.ELC.RNEW.ZS,wdi-AG.LND.TOTL.K2,0.0052898188927828
19124,key-wdi-EG.ELC.RNEW.ZS,wdi-AG.SRF.TOTL.K2,0.0035675688452132
19125,key-wdi-EG.ELC.RNEW.ZS,wdi-EG.ELC.RNEW.ZS,0.9480981758714324
19126,key-wdi-EG.ELC.RNEW.ZS,wdi-EN.POP.DNST,0.0155329626057209
19127,key-wdi-EG.ELC.RNEW.ZS,wdi-ER.FSH.CAPT.MT,0.0035297588517124
19128,key-wdi-EG.ELC.RNEW.ZS,wdi-ER.FSH.PROD.MT,0.0054544410559661
19129,key-wdi-EG.ELC.RNEW.ZS,wdi-IQ.SPI.PIL1,0.0039414224589034
19130,key-wdi-ER.FSH.CAPT.MT,wdi2-NY.GDP.MKTP.CN,0.1447604925544403
19131,key-wdi-ER.FSH.CAPT.MT,key-wdi-AG.SRF.TOTL.K2,0.044121929998986
19132,key-wdi-ER.FSH.CAPT.MT,key-wdi-EG.ELC.RNEW.ZS,0.0534797334838356
19133,key-wdi-ER.FSH.CAPT.MT,wdi-AG.LND.TOTL.K2,0.0566462913394174
19134,key-wdi-ER.FSH.CAPT.MT,wdi-AG.SRF.TOTL.K2,0.0407622789220662
19135,key-wdi-ER.FSH.CAPT.MT,wdi-EG.ELC.RNEW.ZS,0.049485137132363
19136,key-wdi-ER.FSH.CAPT.MT,wdi-EN.POP.DNST,0.1154730306450361
19137,key-wdi-ER.FSH.CAPT.MT,wdi-ER.FSH.CAPT.MT,0.3402941913264663
19138,key-wdi-ER.FSH.CAPT.MT,wdi-ER.FSH.PROD.MT,0.1112106165243433
19139,key-wdi-ER.FSH.CAPT.MT,wdi-IQ.SPI.PIL1,0.0437662980730454
19180,key-wdi-EG.ELC.ACCS.ZS,wdi2-NY.GDP.MKTP.CN,0.0124801964056674
19181,key-wdi-EG.ELC.ACCS.ZS,key-wdi-AG.SRF.TOTL.K2,0.0065963154903391
19182,key-wdi-EG.ELC.ACCS.ZS,key-wdi-EG.ELC.RNEW.ZS,0.0026940289025136
19183,key-wdi-EG.ELC.ACCS.ZS,key-wdi-ER.FSH.CAPT.MT,0.0030773883017752
19184,key-wdi-EG.ELC.ACCS.ZS,wdi-AG.LND.TOTL.K2,0.0030712527832854
19185,key-wdi-EG.ELC.ACCS.ZS,wdi-AG.SRF.TOTL.K2,0.0073766171068243
19186,key-wdi-EG.ELC.ACCS.ZS,wdi-EG.ELC.ACCS.ZS,0.9337117052974298
19187,key-wdi-EG.ELC.ACCS.ZS,wdi-EG.ELC.RNEW.ZS,0.0039541660675131
19188,key-wdi-EG.ELC.ACCS.ZS,wdi-EN.POP.DNST,0.0240059368585456
19189,key-wdi-EG.ELC.ACCS.ZS,wdi-ER.FSH.CAPT.MT,0.003032392786106
19190,key-wdi2-SP.POP.TOTL,wdi2-NY.GDP.MKTP.CN,0.2230681572355146
19191,key-wdi2-SP.POP.TOTL,key-wdi-AG.SRF.TOTL.K2,0.0929041263925
