,Unnamed: 0,model,year,target,names,values
0,0,gbr,2010,wdi-EG.ELC.RNEW.ZS,wdi2-NY.GDY.TOTL.KN,0.142274874961904
1,1,gbr,2010,wdi-EG.ELC.RNEW.ZS,wdi2-SP.POP.GROW,0.1240766087287122
2,2,gbr,2010,wdi-EG.ELC.RNEW.ZS,wdi2-SP.POP.TOTL,0.0587104617073937
3,3,gbr,2010,wdi-EG.ELC.RNEW.ZS,wdi-AG.LND.TOTL.K2,0.1314021609912542
4,4,gbr,2010,wdi-EG.ELC.RNEW.ZS,wdi-EN.POP.DNST,0.0646442531026428
5,5,gbr,2010,wdi-EG.ELC.RNEW.ZS,wdi-AG.SRF.TOTL.K2,0.1223638952919816
6,6,gbr,2010,wdi-EG.ELC.RNEW.ZS,wdi-EG.ELC.ACCS.ZS,0.0477019225764271
7,7,gbr,2010,wdi-EG.ELC.RNEW.ZS,wdi2-SM.POP.TOTL,0.1510316841759963
8,8,gbr,2010,wdi-EG.ELC.RNEW.ZS,wdi2-SM.POP.TOTL.ZS,0.078772672604665
9,9,gbr,2010,wdi-EG.ELC.RNEW.ZS,wdi2-SP.RUR.TOTL,0.0790214658590226
10,10,gbr,2010,wdi2-SP.POP.GROW,wdi2-NY.GDP.MKTP.KN,0.1258097291759699
11,11,gbr,2010,wdi2-SP.POP.GROW,wdi-EG.ELC.RNEW.ZS,0.0831892340786227
12,12,gbr,2010,wdi2-SP.POP.GROW,wdi2-SP.POP.TOTL,0.0958050849548967
13,13,gbr,2010,wdi2-SP.POP.GROW,wdi-AG.LND.TOTL.K2,0.0664934243895773
14,14,gbr,2010,wdi2-SP.POP.GROW,wdi-EN.POP.DNST,0.1177503086986039
15,15,gbr,2010,wdi2-SP.POP.GROW,wdi-AG.SRF.TOTL.K2,0.0545006929247314
16,16,gbr,2010,wdi2-SP.POP.GROW,wdi-EG.ELC.ACCS.ZS,0.1087846910160186
17,17,gbr,2010,wdi2-SP.POP.GROW,wdi2-SM.POP.TOTL,0.1491417644206624
18,18,gbr,2010,wdi2-SP.POP.GROW,wdi2-SM.POP.TOTL.ZS,0.1134311803706915
19,19,gbr,2010,wdi2-SP.POP.GROW,wdi2-SP.RUR.TOTL,0.0850938899702252
20,20,gbr,2010,wdi2-SP.POP.TOTL,wdi2-NY.GDP.MKTP.KN,0.091241876228526
21,21,gbr,2010,wdi2-SP.POP.TOTL,wdi-EG.ELC.RNEW.ZS,0.0701460935992524
22,22,gbr,2010,wdi2-SP.POP.TOTL,wdi2-SP.POP.GROW,0.0727296619922393
23,23,gbr,2010,wdi2-SP.POP.TOTL,wdi-AG.LND.TOTL.K2,0.0867659063556069
24,24,gbr,2010,wdi2-SP.POP.TOTL,wdi-EN.POP.DNST,0.0886492451349173
25,25,gbr,2010,wdi2-SP.POP.TOTL,wdi-AG.SRF.TOTL.K2,0.0762180917276559
26,26,gbr,2010,wdi2-SP.POP.TOTL,wdi-EG.ELC.ACCS.ZS,0.0611816324412352
27,27,gbr,2010,wdi2-SP.POP.TOTL,wdi2-SM.POP.TOTL,0.1853593654468862
28,28,gbr,2010,wdi2-SP.POP.TOTL,wdi2-SM.POP.TOTL.ZS,0.0786034738670746
29,29,gbr,2010,wdi2-SP.POP.TOTL,wdi2-SP.RUR.TOTL,0.1891046532066059
30,30,gbr,2010,wdi-AG.LND.TOTL.K2,wdi2-NY.GDY.TOTL.KN,0.0758961309795293
31,31,gbr,2010,wdi-AG.LND.TOTL.K2,wdi-EG.ELC.RNEW.ZS,0.0648411040851527
32,32,gbr,2010,wdi-AG.LND.TOTL.K2,wdi-EN.POP.DNST,0.0713816025025378
33,33,gbr,2010,wdi-AG.LND.TOTL.K2,wdi2-SP.POP.GROW,0.0720354501877975
34,34,gbr,2010,wdi-AG.LND.TOTL.K2,wdi2-SP.POP.TOTL,0.066665114370464
35,35,gbr,2010,wdi-AG.LND.TOTL.K2,wdi-AG.SRF.TOTL.K2,0.3883625191505025
36,36,gbr,2010,wdi-AG.LND.TOTL.K2,wdi-EG.ELC.ACCS.ZS,0.0390657818451555
37,37,gbr,2010,wdi-AG.LND.TOTL.K2,wdi2-SH.H2O.BASW.ZS,0.0693263197929713
38,38,gbr,2010,wdi-AG.LND.TOTL.K2,wdi2-SM.POP.TOTL,0.0920107827204985
39,39,gbr,2010,wdi-AG.LND.TOTL.K2,wdi2-SM.POP.TOTL.ZS,0.0604151943653904
40,40,gbr,2010,wdi-EN.POP.DNST,wdi2-NY.GDY.TOTL.KN,0.103383559096196
41,41,gbr,2010,wdi-EN.POP.DNST,wdi-AG.LND.TOTL.K2,0.1039336330006987
42,42,gbr,2010,wdi-EN.POP.DNST,wdi-EG.ELC.RNEW.ZS,0.0799617258411426
43,43,gbr,2010,wdi-EN.POP.DNST,wdi2-SP.POP.GROW,0.1057094613411113
