,predicted indicator,feature indicator,feature importance
29210,wdi-AG.LND.TOTL.K2,wdi2-NY.GDP.MKTP.CN,56673594698114.0
29211,wdi-AG.LND.TOTL.K2,wdi-AG.SRF.TOTL.K2,359290656430436.6
29212,wdi-AG.LND.TOTL.K2,wdi-EG.ELC.RNEW.ZS,114672786486225.0
29213,wdi-AG.LND.TOTL.K2,wdi-EN.POP.DNST,84330593557364.0
29214,wdi-AG.LND.TOTL.K2,wdi-EG.ELC.ACCS.ZS,62350292873818.0
29215,wdi-AG.LND.TOTL.K2,wdi-ER.FSH.CAPT.MT,47057703767190.3
29216,wdi-AG.LND.TOTL.K2,wdi-ER.FSH.PROD.MT,26464733191378.0
29217,wdi-AG.LND.TOTL.K2,wdi2-SP.POP.GROW,28717910269008.0
29218,wdi-AG.LND.TOTL.K2,wdi2-SP.POP.TOTL,225036689185053.0
29219,wdi-AG.LND.TOTL.K2,wdi-AG.LND.FRST.K2,477425145409478.8
29220,wdi-AG.SRF.TOTL.K2,wdi2-NY.GDP.MKTP.CN,66303048215456.0
29221,wdi-AG.SRF.TOTL.K2,wdi-AG.LND.TOTL.K2,547574441677696.0
29222,wdi-AG.SRF.TOTL.K2,wdi-EG.ELC.RNEW.ZS,101018327959436.0
29223,wdi-AG.SRF.TOTL.K2,wdi-EN.POP.DNST,71762215830176.0
29224,wdi-AG.SRF.TOTL.K2,wdi-EG.ELC.ACCS.ZS,59245952956760.0
29225,wdi-AG.SRF.TOTL.K2,wdi-ER.FSH.CAPT.MT,56149132203536.0
29226,wdi-AG.SRF.TOTL.K2,wdi-ER.FSH.PROD.MT,23599842704496.0
29227,wdi-AG.SRF.TOTL.K2,wdi2-SP.POP.GROW,35284610370240.0
29228,wdi-AG.SRF.TOTL.K2,wdi2-SP.POP.TOTL,203183375102896.0
29229,wdi-AG.SRF.TOTL.K2,wdi-AG.LND.FRST.K2,413878221593220.0
29230,wdi-EG.ELC.RNEW.ZS,wdi2-NY.GDP.MKTP.CN,352.93406841158867
29231,wdi-EG.ELC.RNEW.ZS,wdi-AG.LND.TOTL.K2,2016.8650904297829
29232,wdi-EG.ELC.RNEW.ZS,wdi-AG.SRF.TOTL.K2,87.08141285181046
29233,wdi-EG.ELC.RNEW.ZS,wdi-EN.POP.DNST,474.0036720633507
29234,wdi-EG.ELC.RNEW.ZS,wdi-EG.ELC.ACCS.ZS,839.1508335769176
29235,wdi-EG.ELC.RNEW.ZS,wdi-ER.FSH.CAPT.MT,494.0729957520962
29236,wdi-EG.ELC.RNEW.ZS,wdi-ER.FSH.PROD.MT,339.0835089981556
29237,wdi-EG.ELC.RNEW.ZS,wdi2-SP.POP.GROW,690.8575985729694
29238,wdi-EG.ELC.RNEW.ZS,wdi2-SP.POP.TOTL,915.956246584654
29239,wdi-EG.ELC.RNEW.ZS,wdi-AG.LND.FRST.K2,635.6193816065788
29240,wdi-EN.POP.DNST,wdi2-NY.GDP.MKTP.CN,1414262.4956235886
29241,wdi-EN.POP.DNST,wdi-AG.LND.TOTL.K2,7260466.999300957
29242,wdi-EN.POP.DNST,wdi-AG.SRF.TOTL.K2,1330972.4425468445
29243,wdi-EN.POP.DNST,wdi-EG.ELC.RNEW.ZS,688695.838889122
29244,wdi-EN.POP.DNST,wdi-EG.ELC.ACCS.ZS,431871.0877637863
29245,wdi-EN.POP.DNST,wdi-ER.FSH.CAPT.MT,498442.03458976746
29246,wdi-EN.POP.DNST,wdi-ER.FSH.PROD.MT,275865.0112876892
29247,wdi-EN.POP.DNST,wdi2-SP.POP.GROW,599659.2085604668
29248,wdi-EN.POP.DNST,wdi2-SP.POP.TOTL,316867.7259979248
29249,wdi-EN.POP.DNST,wdi-AG.LND.FRST.K2,4329354.831134796
29250,wdi-EG.ELC.ACCS.ZS,wdi2-NY.GDP.MKTP.CN,23.570974186324747
29251,wdi-EG.ELC.ACCS.ZS,wdi-AG.LND.TOTL.K2,36.36023692134768
29252,wdi-EG.ELC.ACCS.ZS,wdi-AG.SRF.TOTL.K2,7.038753472501412
29253,wdi-EG.ELC.ACCS.ZS,wdi-EG.ELC.RNEW.ZS,27.25078833522275
29254,wdi-EG.ELC.ACCS.ZS,wdi-EN.POP.DNST,19.331044877697423
29255,wdi-EG.ELC.ACCS.ZS,wdi-ER.FSH.CAPT.MT,9.77271533361636
29256,wdi-EG.ELC.ACCS.ZS,wdi-ER.FSH.PROD.MT,45.58403667752282
29257,wdi-EG.ELC.ACCS.ZS,wdi2-SP.POP.GROW,169.6064732708037
29258,wdi-EG.ELC.ACCS.ZS,wdi2-SP.POP.TOTL,123.48205330874772
29259,wdi-EG.ELC.ACCS.ZS,wdi-EG.ELC.ACCS.UR.ZS,5798.8054002719
29260,wdi-ER.FSH.CAPT.MT,wdi2-NY.GDP.MKTP.CN,53960978419280.0
29261,wdi-ER.FSH.CAPT.MT,wdi-AG.LND.TOTL.K2,181013522872240.0
29262,wdi-ER.FSH.CAPT.MT,wdi-AG.SRF.TOTL.K2,11568124103460.0
29263,wdi-ER.FSH.CAPT.MT,wdi-EG.ELC.RNEW.ZS,50227680261336.0
29264,wdi-ER.FSH.CAPT.MT,wdi-EN.POP.DNST,45315704817920.0
29265,wdi-ER.FSH.CAPT.MT,wdi-ER.FSH.PROD.MT,136456156749221.88
29266,wdi-ER.FSH.CAPT.MT,wdi-EG.ELC.ACCS.ZS,24838054164099.0
29267,wdi-ER.FSH.CAPT.MT,wdi2-SP.POP.GROW,11389505588748.0
29268,wdi-ER.FSH.CAPT.MT,wdi2-SP.POP.TOTL,273953408154120.0
29269,wdi-ER.FSH.CAPT.MT,wdi-AG.LND.FRST.K2,50746341859512.0
29270,wdi-ER.FSH.PROD.MT,wdi2-NY.GDP.MKTP.CN,465204456937344.0
29271,wdi-ER.FSH.PROD.MT,wdi-AG.LND.TOTL.K2,632477671481484.0
29272,wdi-ER.FSH.PROD.MT,wdi-AG.SRF.TOTL.K2,103604442820032.0
